uniprot,ensembl,dataset,,,,,,,,,,,,
A0A3Q3JV82,ENSMALG00000013298.1,loculatus_gene_ensembl,,,,,,,,,,,,
A0A663MTP9,ENSACUG00000010645.1,acitrinellus_gene_ensembl,,,,,,,,,,,,
A0A337SMY3,ENSFCAG00000031147.4,fcatus_gene_ensembl,,,,,,,,,,,,
A0A2I3GGC7,ENSNLEG00000011911.3,nleucogenys_gene_ensembl,,,,,,,,,,,,
H3BIC3,ENSLACG00000019017.1,hsapiens_gene_ensembl,,,,,,,,,,,,
A0A4W5M2K7,ENSHHUG00000020136.1,hhucho_gene_ensembl,,,,,,,,,,,,
A0A673WQD2,ENSSTUG00000006579.1,strutta_gene_ensembl,,,,,,,,,,,,
G7PHU3,ENSMFAG00000016523.2,marmatus_gene_ensembl,,,,,,,,,,,,
A0A3Q3DF55,ENSHCOG00000013216.1,hcomes_gene_ensembl,,,,,,,,,,,,
A0A2K5YB20,ENSMLEG00000030399.1,mleucophaeus_gene_ensembl,,,,,,,,,,,,
A0A673FNP1,ENSSRHG00000000595.1,spartitus_gene_ensembl,,,,,,,,,,,,
A0A671M9F2,ENSSANG00000015190.1,rroxellana_gene_ensembl,,,,,,,,,,,,
A0A7N9APD2,ENSMAMG00000007024.2,marmatus_gene_ensembl,,,,,,,,,,,,
A0A4W2D7B9,ENSBIXG00000019255.1,bihybrid_gene_ensembl,,,,,,,,,,,,
A0A672MG80,ENSSGRG00000019046.1,sgrahami_gene_ensembl,,,,,,,,,,,,
F7EVM1,ENSMODG00000003690.4,mnemestrina_gene_ensembl,,,,,,,,,,,,
A0A452T4T3,ENSUMAG00000001976.1,,,,,,,,,,,,,
A0A3Q3LB01,ENSMAMG00000007024.2,marmatus_gene_ensembl,,,,,,,,,,,,
H2YST0,ENSCSAVG00000004986.1,csabaeus_gene_ensembl,,,,,,,,,,,,
A0A3Q3GRL3,ENSLBEG00000027538.1,lbergylta_gene_ensembl,,,,,,,,,,,,
A0A4X1UH06,ENSSSCG00005019645.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4X1UH06,ENSSSCG00030046093.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4X1UH06,ENSSSCG00035076132.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4X1UH06,ENSSSCG00070016898.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A5F8HIK2,ENSMODG00000048911.1,mnemestrina_gene_ensembl,,,,,,,,,,,,
A0A672GKI3,ENSSFAG00005009220.1,sdumerili_gene_ensembl,,,,,,,,,,,,
A0A3P9BFY7,ENSMZEG00005001619.1,mzebra_gene_ensembl,,,,,,,,,,,,
A0A3B3QY82,ENSPKIG00000025135.1,pkingsleyae_gene_ensembl,,,,,,,,,,,,
A0A493TET5,ENSAPLG00000011331.2,aplatyrhynchos_gene_ensembl,,,,,,,,,,,,
A0A671ULU7,ENSSAUG00010006455.1,saurata_gene_ensembl,,,,,,,,,,,,
A0A673JIB5,ENSSRHG00000025131.1,spartitus_gene_ensembl,,,,,,,,,,,,
A0A3B5LCF4,ENSXCOG00000005692.1,,,,,,,,,,,,,
A0A672U691,ENSSHBG00005009107.1,shabroptila_gene_ensembl,,,,,,,,,,,,
A0A3P8NL51,ENSACLG00000003604.1,acitrinellus_gene_ensembl,,,,,,,,,,,,
A0A3Q3QB88,ENSMALG00000006089.1,loculatus_gene_ensembl,,,,,,,,,,,,
A0A7N8X829,ENSMAMG00000016320.2,marmatus_gene_ensembl,,,,,,,,,,,,
A0A803XMJ3,ENSMGAG00000021888.1,mgallopavo_gene_ensembl,,,,,,,,,,,,
A0A3Q2YQV6,ENSHCOG00000019510.1,hcomes_gene_ensembl,,,,,,,,,,,,
A0A803SLV0,ENSACAG00000002516.3,acarolinensis_gene_ensembl,,,,,,,,,,,,
A0A3Q3S4N2,ENSMAMG00000011702.2,marmatus_gene_ensembl,,,,,,,,,,,,
A0A5G2R3Z0,ENSSSCG00000032999.3,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4W3JCS9,ENSCMIG00000015169.1,cmilii_gene_ensembl,,,,,,,,,,,,
A0A674IV53,ENSTMTG00000009684.1,,,,,,,,,,,,,
A0A3Q3RQ02,ENSMAMG00000004534.2,marmatus_gene_ensembl,,,,,,,,,,,,
H0X7T5,ENSOGAG00000012826.2,ogarnettii_gene_ensembl,,,,,,,,,,,,
A0A2K6U2K2,ENSSBOG00000029508.1,sbboliviensis_gene_ensembl,,,,,,,,,,,,
A0A4X1TD05,ENSSSCG00045018269.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4X1TD05,ENSSSCG00070008242.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4X1WAA7,ENSSSCG00070029640.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A4W5NUH9,ENSHHUG00000031826.1,hhucho_gene_ensembl,,,,,,,,,,,,
A0A4W5NDX4,ENSHHUG00000028291.1,hhucho_gene_ensembl,,,,,,,,,,,,
A0A3P9BFT0,ENSMZEG00005001619.1,mzebra_gene_ensembl,,,,,,,,,,,,
A0A3P9AEG5,ENSELUG00000019147.2,elucius_gene_ensembl,,,,,,,,,,,,
H2ZF71,ENSCSAVG00000009553.1,csabaeus_gene_ensembl,,,,,,,,,,,,
A0A673C037,ENSSORG00005021645.1,sldorsalis_gene_ensembl,,,,,,,,,,,,
A0A5F9CL57,ENSOCUG00000006422.4,ocuniculus_gene_ensembl,,,,,,,,,,,,
W5NHJ0,ENSLOCG00000016285.1,loculatus_gene_ensembl,,,,,,,,,,,,
A0A3P9QCQ1,ENSPREG00000021563.1,preticulata_gene_ensembl,,,,,,,,,,,,
I3KNE7,ENSONIG00000017969.2,oniloticus_gene_ensembl,,,,,,,,,,,,
A0A3B5MTY8,ENSXCOG00000020331.1,,,,,,,,,,,,,
A0A2K5NME4,ENSCATG00000041992.1,catys_gene_ensembl,,,,,,,,,,,,
A0A7N9CVH1,ENSMFAG00000041923.2,marmatus_gene_ensembl,,,,,,,,,,,,
A0A7N4NNT3,ENSSHAG00000015968.2,sgrahami_gene_ensembl,,,,,,,,,,,,
A0A3P9KVG8,ENSORLG00020013446.1,oniloticus_gene_ensembl,,,,,,,,,,,,
A0A3Q2GDU4,ENSCVAG00000000230.1,cvariegatus_gene_ensembl,,,,,,,,,,,,
A0A3P9ABB7,ENSELUG00000017695.2,elucius_gene_ensembl,,,,,,,,,,,,
A0A3P9HEL6,ENSORLG00015007040.1,oniloticus_gene_ensembl,,,,,,,,,,,,
A0A3B3VXN8,ENSPLAG00000000464.1,platipinna_gene_ensembl,,,,,,,,,,,,
A0A7N9CXG4,ENSMFAG00000045863.2,marmatus_gene_ensembl,,,,,,,,,,,,
A0A673YH30,ENSSTUG00000013788.1,strutta_gene_ensembl,,,,,,,,,,,,
A0A670K8N8,ENSPMRG00000019735.1,pmuralis_gene_ensembl,,,,,,,,,,,,
H3CY65,ENSTNIG00000010297.1,,,,,,,,,,,,,
A0A674BTR5,ENSSTUG00000031803.1,strutta_gene_ensembl,,,,,,,,,,,,
A0A3Q1J4G4,ENSATEG00000018308.2,atestudineus_gene_ensembl,,,,,,,,,,,,
A0A669DHD6,ENSONIG00000018467.2,oniloticus_gene_ensembl,,,,,,,,,,,,
U3JJK9,ENSFALG00000002840.2,falbicollis_gene_ensembl,,,,,,,,,,,,
A0A674JUL9,ENSTMTG00000017049.1,,,,,,,,,,,,,
A0A665V8X6,ENSENLG00000012558.1,elucius_gene_ensembl,,,,,,,,,,,,
A0A3B5MG04,ENSXCOG00000016844.1,,,,,,,,,,,,,
A0A3P8N6F5,ENSACLG00000000195.1,acitrinellus_gene_ensembl,,,,,,,,,,,,
A0A3P8T243,ENSAPEG00000013094.1,apercula_gene_ensembl,,,,,,,,,,,,
A0A4W4EVC5,ENSEEEG00000007711.1,eelectricus_gene_ensembl,,,,,,,,,,,,
A0A452S3S7,ENSUAMG00000020531.1,,,,,,,,,,,,,
A0A2K6RGZ4,ENSRROG00000043416.1,rroxellana_gene_ensembl,,,,,,,,,,,,
A0A3P8ZZI7,ENSELUG00000012323.2,elucius_gene_ensembl,,,,,,,,,,,,
A0A452HQN1,ENSGAGG00000012889.1,gaculeatus_gene_ensembl,,,,,,,,,,,,
A0A6Q2ZH85,ENSELUG00000012161.2,elucius_gene_ensembl,,,,,,,,,,,,
A0A673NCS4,ENSSRHG00000049404.1,spartitus_gene_ensembl,,,,,,,,,,,,
A0A3P9BBC3,ENSMZEG00005005531.1,mzebra_gene_ensembl,,,,,,,,,,,,
A0A3B4UYX3,ENSSDUG00000016942.1,sdumerili_gene_ensembl,,,,,,,,,,,,
A0A672UYZ1,ENSSHBG00005016709.1,shabroptila_gene_ensembl,,,,,,,,,,,,
A0A3Q3GVH8,ENSLBEG00000025888.1,lbergylta_gene_ensembl,,,,,,,,,,,,
A0A665X484,ENSENLG00000020851.1,elucius_gene_ensembl,,,,,,,,,,,,
A0A4X1T469,ENSSSCG00070006452.1,sscrofa_gene_ensembl,,,,,,,,,,,,
A0A803Y8B9,ENSMGAG00000011145.3,mgallopavo_gene_ensembl,,,,,,,,,,,,
A0A671SMN9,ENSSANG00000048047.1,rroxellana_gene_ensembl,,,,,,,,,,,,
A0A667WL43,ENSMMDG00005001329.1,mmurdjan_gene_ensembl,,,,,,,,,,,,
A0A4W3H8W9,ENSCMIG00000006370.1,cmilii_gene_ensembl,,,,,,,,,,,,
A0A3Q3E2Y6,ENSHCOG00000015823.1,hcomes_gene_ensembl,,,,,,,,,,,,
A0A3B4BA23,ENSPMGG00000020465.1,pmajor_gene_ensembl,,,,,,,,,,,,
A0A3Q3CFK4,ENSHBUG00000023416.1,ggorilla_gene_ensembl,,,,,,,,,,,,
F6PFS5,ENSMODG00000006849.3,mnemestrina_gene_ensembl,,,,,,,,,,,,
A0A3B3R8F3,ENSPKIG00000001566.1,pkingsleyae_gene_ensembl,,,,,,,,,,,,
A0A2I3SIA6,ENSPTRG00000033847.3,psinensis_gene_ensembl,,,,,,,,,,,,
