uniprot,refseq,,
A0A2I3H2Z7,XM_003267022.3,,
A0A2Y9EU00,XM_007108882.2,,
A0A6P7WTF0,XM_030188616.1,,
A0A6P6HIF2,XM_025919326.1,,
A0A6J0XVF2,XM_020897522.1,,
A0A6J0XVF2,XM_020897530.1,,
A0A7M4FC01,XM_019555209.1,,
A0A669EE40,XM_003443487.4,,
A0A1X7VPG9,XM_003383573.2,,
A0A672JVZ3,XM_016274972.1,,
A0A3Q2WIX6,XM_014337693.1,,
A0A3B5QWD8,XM_005806648.1,,
A0A7E5WRZ1,XM_026887767.1,,
A0A1S3F310,XM_013015040.1,,
A0A6J0NPF4,XM_018631067.1,,
A0A452CJB9,XM_028167305.1,,
A0A3Q7R587,XM_025985574.1,,
A0A6J1T726,XM_026431700.2,,
A0A6J1T726,XM_052263786.1,,
A0A6P7K4M5,XM_028428428.1,,
A0A3Q3BAH6,XM_017423397.1,,
A0A1U8E1N7,XM_014527934.2,,
I3JUR6,XM_003449674.4,,
A0A6P4CG60,XM_016094847.3,,
A0A6P3I908,XM_010852686.1,,
A0A6J0LK43,XM_018604816.1,,
F1NBP0,NM_001321549.1,,
A0A6J3DAS2,XM_032190717.1,,
A0A6I9WDI0,XM_011640651.1,,
A0A2Y9QH56,XM_022598939.2,,
A0A6P5LCB9,XM_020999919.1,,
A0A6J2V2L7,XM_030771315.1,,
A0A6J1V5G5,XM_026679254.1,,
A0A341AS61,XM_024736309.1,,
A0A7E6FE90,XM_036510176.1,,
A0A6J0I3Z8,XM_017825826.1,,
A0A6J0I3Z8,XM_017825827.1,,
A0A6P7F645,XM_028273442.1,,
A0A6P8ILN9,XM_031711869.1,,
A0A1S3RCI0,XM_014194580.1,,
A0A1S3EU89,XM_013012036.1,,
A0A6P7L3U6,XM_029132782.2,,
A0A6P7L3U6,XM_041068074.1,,
A0A6J1EU32,XM_023075606.1,,
A0A6P7NTV7,XM_029165540.2,,
A0A3Q0GPI3,XM_025204300.1,,
H2LIW5,XM_004069555.2,,
A0A1L8ELB0,XM_018238128.2,,
A0A1U7V0F7,XM_008072951.2,,
A0A6P6DLE3,XM_023704705.1,,
A0A6P6C2T4,XM_023525843.1,,
A0A6P6C2T4,XM_023525844.1,,
A0A3B3V9Z5,XM_015039615.1,,
G3X9F6,NM_194344.2,,
G3X9F6,XM_006503903.3,,
G3X9F6,XM_006503904.3,,
A0A1U8N779,XM_016878165.1,,
A0A1W4X337,XM_018471296.2,,
A0A673IKB4,XM_016573161.1,,
A0A6J1Y9Z8,XM_027046006.1,,
A0A6J1E9M8,XM_023068831.1,,
A0A6J1A5M8,XM_021426468.1,,
A0A6J1A5M8,XM_021426470.1,,
A0A2R9C555,XM_003820836.1,,
A0A3B4CLJ0,XM_017711736.1,,
A0A3B4CLJ0,XM_017711737.1,,
A0A3B4CLJ0,XM_017711738.1,,
A0A6J2ACL6,XM_027070458.1,,
A0A6J3RFD6,XM_033857549.1,,
A0A6J3RFD6,XM_033857550.1,,
A0A2U4AQS1,XM_019927744.2,,
A0A6J1EZD1,XM_023075900.1,,
G1NMI9,XM_003202635.3,,
A0A3Q2HJE7,XM_001491167.5,,
A0A3P8Z8R7,XM_010871111.3,,
A0A6P6QJQ9,XM_026276650.1,,
A0A2I4ERE1,XM_018966421.2,,
A0A1U8L6Y1,XM_016854862.1,,
